author_name,title,authors,publication,cited_by_value,year
Robert C. Williamson,The convexity and design of composite multiclass losses,"P Sun, MD Reid, RC Williamson","Proceedings of the 29th International Conference on Machine Learning (ICML …, 2012",4,2012
Robert C. Williamson,Riemannian structure of some new gradient descent learning algorithms,"RE Mahoney, RC Williamson","Proceedings of the IEEE 2000 Adaptive Systems for Signal Processing …, 2000",4,2000
Robert C. Williamson,Learning curves from a modified VC-formalism: a case study.,"A Kowalczyk, J Szymariski, RC Williamson","ICNN, 2939-2943, 1995",4,1995
Robert C. Williamson,Assessing AI fairness in finance,"L McCalman, D Steinberg, G Abuhamad, ME Brunet, RC Williamson, ...","Computer 55 (1), 94-97, 2022",3,2022
Robert C. Williamson,Loss functions,RC Williamson,"Empirical Inference: Festschrift in Honor of Vladimir N. Vapnik, 71-80, 2013",3,2013
Robert C. Williamson,Correction to “The Importance of Convexity in Learning With Squared Loss”[Sep 98 1974-1980],"WS Lee, PL Bartlett, RC Williamson","IEEE Transactions on Information Theory 54 (9), 4395-4395, 2008",3,2008
Robert C. Williamson,Srm and vc theory (statistical learning theory),R Williamson,,3,2001
Robert C. Williamson,Error performance of a channel of known impulse response,"PD Teal, RC Williamson, RA Kennedy","IEEE INTERNATIONAL CONFERENCE ON ACOUSTICS SPEECH AND SIGNAL PROCESSING 5, V …, 2000",3,2000
Robert C. Williamson,Isotropic noise modelling for nearfield array processing,"TD Abhayapala, RA Kennedy, RC Williamson","Proceedings of the 1999 IEEE Workshop on Applications of Signal Processing …, 1999",3,1999
Robert C. Williamson,Frequency invariant beamforming with exact null design,"PJ Kootsookos, DB Ward, RC Williamson","Proceedings of 8th Workshop on Statistical Signal and Array Processing, 105-108, 1996",3,1996
Robert C. Williamson,Behavioural oriented identification in a stochastic framework,"E Weyer, IMY Mareels, RC Williamson","IFAC Proceedings Volumes 29 (1), 3933-3938, 1996",3,1996
Robert C. Williamson,Characterization of threshold for multiharmonic maximum likelihood frequency estimation,"B James, BDO Anderson, RC Williamson","submitted to IEEE Transactions on Signal Processing, 1991",3,1991
Robert C. Williamson,Random classification noise does not defeat all convex potential boosters irrespective of model choice,"Y Mansour, R Nock, R Williamson","International Conference on Machine Learning, 23706-23742, 2023",2,2023
Robert C. Williamson,Fairness and Randomness in Machine Learning: Statistical Independence and Relativization,"R Derr, RC Williamson","arXiv preprint arXiv:2207.13596, 2022",2,2022
Robert C. Williamson,"Bipartite ranking: risk, optimality, and equivalences","AK Menon, RC Williamson","Journal of Machine Learning Research, July, 2014",2,2014
Robert C. Williamson,Discriminative estimation of f-divergence,"L Song, MD Reid, AJ Smola, RC Williamson","Submitted to AISTATS09, 2008",2,2008
