author_name,title,authors,publication,cited_by_value,year
Philipp Hennig,The Geometry of Neural Nets' Parameter Spaces Under Reparametrization,"P Hennig, F Dangel, A Kristiadi","arXiv, 2023",,2023
Philipp Hennig,"How can we quantify, explain and apply the uncertainty of complex soil maps predicted with neural networks?","P Hennig, K Rau, T Gläßle, T Scholten","EGU General Assembly 2023, 2023",,2023
Philipp Hennig,"How can we quantify, explain and apply the uncertainty of complex soil maps predicted with neural networks?","K Rau, T Gläßle, P Hennig, T Scholten","EGU23, 2023",,2023
Philipp Hennig,Correction to: Probabilistic solvers enable a straight-forward exploration of numerical uncertainty in neuroscience models,"J Oesterle, N Krämer, P Hennig, P Berens","Journal of Computational Neuroscience 51 (3), 405, 2023",,2023
Philipp Hennig,Probabilistic solvers enable a straight-forward exploration of numerical uncertainty in neuroscience models,"J Oesterle, N Krämer, P Hennig, P Berens","Journal of Computational Neuroscience 50 (4), 485-503, 2022",,2022
Philipp Hennig,Optimistic Optimization of Gaussian Process Samples,"J Grosse, C Zhang, P Hennig","arXiv preprint arXiv:2209.00895, 2022",,2022
Philipp Hennig,Approximate Bayesian Neural Operators: Uncertainty Quantification for Parametric PDEs,"E Magnani, N Krämer, R Eschenhagen, L Rosasco, P Hennig","arXiv preprint arXiv:2208.01565, 2022",,2022
Philipp Hennig,VIPurPCA: Visualizing and Propagating Uncertainty in Principal Component Analysis,"S Zabel, P Hennig, K Nieselt","TechRxiv, 2022",,2022
Philipp Hennig,Hierarchical Soil Classification using Gaussian Processes,"T Gläßle, K Rau, T Scholten, P Hennig","EGU General Assembly Conference Abstracts, EGU22-5164, 2022",,2022
Philipp Hennig,Spatial prediction of soil type maps with Neural Networks including quantification of model uncertainty,"K Rau, T Gläßle, P Hennig, T Scholten","EGU General Assembly Conference Abstracts, EGU22-2766, 2022",,2022
Philipp Hennig,Pick-and-mix information operators for probabilistic ODE solvers,"F Tronarp, P Hennig, N Bosch","25th International Conference on Artificial Intelligence and Statistics, 2022",,2022
Philipp Hennig,Probabilistic Numerical Methods-From Theory to Implementation (Dagstuhl Seminar 21432),"P Hennig, ICF Ipsen, M Mahsereci, T Sullivan","Dagstuhl Reports 11 (9), 2022",,2022
Philipp Hennig,Laplace Matching for fast Approximate Inference in Latent Gaussian Models,"M Hobbhahn, P Hennig","arXiv preprint arXiv:2105.03109, 2021",,2021
Philipp Hennig,Laplace Matching for fast Approximate Inference in Generalized Linear Models,"M Hobbhahn, P Hennig","arXiv e-prints, arXiv: 2105.03109, 2021",,2021
Philipp Hennig,Spatial prediction of soil thickness with Gaussian Process Regression using pedological knowledge described by partial differential equations,"K Rau, T Gläßle, T Rentschler, P Hennig, T Scholten","EGU General Assembly Conference Abstracts, EGU21-3368, 2021",,2021
Philipp Hennig,Topographic Kernels for Gaussian Process Regression in Digital Soil Mapping,"T Gläßle, K Rau, K Schmidt, T Scholten, P Hennig","EGU General Assembly Conference Abstracts, EGU21-2452, 2021",,2021
Philipp Hennig,Bayesian ODE solvers,"F Tronarp, S Särkkä, P Hennig","SPRINGER, 2021",,2021
Philipp Hennig,"Being Bayesian, Even Just a Bit, Fixes Overconfidence in ReLU Networks","M Hein, P Hennig, A Kristiadi","arXiv 2002, 2020",,2020
Philipp Hennig,Probabilistic solutions to ordinary differential equations as nonlinear Bayesian filtering,"F Tronarp, H Kersting, S Särkkä, P Hennig","SPRINGER, 2019",,2019
