author_name,title,authors,publication,cited_by_value,year
Hendrik P. A. Lensch,Latent state inference in a spatiotemporal generative model,"M Karlbauer, T Menge, S Otte, HPA Lensch, T Scholten, V Wulfmeyer, ...","International Conference on Artificial Neural Networks, 384-395, 2021",3,2021
Hendrik P. A. Lensch,Tetrahedra of varying density and their applications,"DR Bukenberger, HPA Lensch","The Visual Computer 37, 2447-2460, 2021",3,2021
Hendrik P. A. Lensch,"Inferring, predicting, and denoising causal wave dynamics","M Karlbauer, S Otte, HPA Lensch, T Scholten, V Wulfmeyer, MV Butz","Artificial Neural Networks and Machine Learning–ICANN 2020: 29th …, 2020",3,2020
Hendrik P. A. Lensch,A computational camera with programmable optics for snapshot high-resolution multispectral imaging,"J Chen, M Hirsch, B Eberhardt, HPA Lensch","Computer Vision–ACCV 2018: 14th Asian Conference on Computer Vision, Perth …, 2019",3,2019
Hendrik P. A. Lensch,Hierarchical quad meshing of 3D scanned surfaces,"DR Bukenberger, HPA Lensch","Computer graphics forum 37 (5), 135-145, 2018",3,2018
Hendrik P. A. Lensch,Improved IR-Colorization using Adversarial Training and current Deep Learning Design Patterns,"M Limmer, HPA Lensch","BMVC 2017, 2017",3,2017
Hendrik P. A. Lensch,Auto-illustrating poems and songs with style,"K Schwarz, TL Berg, HPA Lensch","Computer Vision–ACCV 2016: 13th Asian Conference on Computer Vision, Taipei …, 2017",3,2017
Hendrik P. A. Lensch,Real Time Direct Visual Odometry for Flexible Multi-camera Rigs,"B Resch, J Wei, HPA Lensch","Computer Vision–ACCV 2016: 13th Asian Conference on Computer Vision, Taipei …, 2017",3,2017
Hendrik P. A. Lensch,Learning where to search using visual attention,"A Kloss, D Kappler, HPA Lensch, MV Butz, S Schaal, J Bohg","2016 IEEE/RSJ International Conference on Intelligent Robots and Systems …, 2016",3,2016
Hendrik P. A. Lensch,Local image feature matching improvements for omnidirectional camera systems,"B Resch, J Lang, HPA Lensch","2014 22nd International Conference on Pattern Recognition, 918-923, 2014",3,2014
Hendrik P. A. Lensch,A dynamic BRDF display,"MB Hullin, HPA Lensch, R Raskar, HP Seidel, I Ihrke","ACM SIGGRAPH 2011 Emerging Technologies, 1-1, 2011",3,2011
Hendrik P. A. Lensch,Optimal hdr reconstruction with linear digital cameras,"MWCTHP Seidel, M Granados, B Ajdin, HPA Lensch","CVPR, 2010",3,2010
Hendrik P. A. Lensch,Textures on Rank‐1 Lattices,"S Dammertz, H Dammertz, A Keller, HPA Lensch","Computer Graphics Forum 28 (7), 1945-1954, 2009",3,2009
Hendrik P. A. Lensch,Enhanced dynamic reflectometry for relightable free-viewpoint video,"C Theobalt, N Ahmed, H Lensch, MA Magnor, HP Seidel","Max-Planck-Institut für Informatik, 2006",3,2006
Hendrik P. A. Lensch,Joint motion and reflectance capture for relightable 3d video,"C Theobalt, N Ahmed, E de Aguiar, G Ziegler, H Lensch, M Magnor, ...","ACM SIGGRAPH 2005 Sketches, 73-es, 2005",3,2005
