author_name,title,authors,publication,cited_by_value,year
Bernhard Schölkopf,Sampling techniques for kernel methods,"D Achlioptas, F McSherry, B Scholkopf","Advances in Neural Information Processing Systems 14: Proceedings of the …, 2002",240,2002
Bernhard Schölkopf,Closing the sensorimotor loop: haptic feedback facilitates decoding of motor imagery,"M Gomez-Rodriguez, J Peters, J Hill, B Schölkopf, A Gharabaghi, ...","Journal of neural engineering 8 (3), 036005, 2011",239,2011
Bernhard Schölkopf,Closing the sensorimotor loop: Haptic feedback facilitates decoding of arm movement imagery,"M Gomez-Rodriguez, J Peters, J Hill, B Schölkopf, A Gharabaghi, ...","Systems Man and Cybernetics (SMC), 2010 IEEE International Conference on …, 2010",239,2010
Bernhard Schölkopf,Quantifying causal influences,"D Janzing, D Balduzzi, M Grosse-Wentrup, B Schölkopf","Annals of Statistics 41 (5), 2324-2358, 2013",237,2013
Bernhard Schölkopf,Quantifying causal influences,"D Janzing, D Balduzzi, M Grosse-Wentrup, B Schölkopf",,237,2013
Bernhard Schölkopf,The randomized dependence coefficient,"D Lopez-Paz, P Hennig, B Schölkopf","Advances in neural information processing systems 26, 2013",236,2013
Bernhard Schölkopf,Results of the GREAT08 Challenge: an image analysis competition for cosmological lensing,"S Bridle, ST Balan, M Bethge, M Gentile, S Harmeling, C Heymans, ...","Monthly Notices of the Royal Astronomical Society 405 (3), 2044-2061, 2010",233,2010
Bernhard Schölkopf,View-based cognitive mapping and path planning,"B Schölkopf, HA Mallot","Adaptive Behavior 3 (3), 311-348, 1995",232,1995
Bernhard Schölkopf,New support vector algorithms,B Scholkopf,"Neural Computation 12, 1083-1121, 2000",229,2000
Bernhard Schölkopf,Regularization on Discrete Spaces,"D Zhou, B Scholkopf","Lecture Notes in Computer Science (Proceedings DAGM), 361-368, 2005",223,2005
Bernhard Schölkopf,Generalization performance of regularization networks and support vector machines via entropy numbers of compact operators,"RC Williamson, AJ Smola, B Scholkopf","IEEE Transactions on Information Theory 47 (6), 2516-2532, 2001",223,2001
Bernhard Schölkopf,Kernel dependency estimation,"J Weston, O Chapelle, V Vapnik, A Elisseeff, B Schölkopf","Advances in neural information processing systems 15, 2002",222,2002
Bernhard Schölkopf,Methods for feature selection in a learning machine,"JAE Weston, A Elisseeff, B Schoelkopf, F Pérez-Cruz","US Patent 7,318,051, 2008",220,2008
Bernhard Schölkopf,Learning from distributions via support measure machines,"K Muandet, K Fukumizu, F Dinuzzo, B Schölkopf","Advances in neural information processing systems 25, 2012",219,2012
Bernhard Schölkopf,Discovering causal signals in images,"D Lopez-Paz, R Nishihara, S Chintala, B Scholkopf, L Bottou","Proceedings of the IEEE conference on computer vision and pattern …, 2017",218,2017
Bernhard Schölkopf,A few extreme events dominate global interannual variability in gross primary production,"J Zscheischler, MD Mahecha, J Von Buttlar, S Harmeling, M Jung, ...","Environmental Research Letters 9 (3), 035001, 2014",218,2014
Bernhard Schölkopf,Recovering intrinsic images with a global sparsity prior on reflectance,"C Rother, M Kiefel, L Zhang, B Schölkopf, P Gehler","Advances in neural information processing systems 24, 2011",218,2011
Bernhard Schölkopf,Experimentally optimal ν in support vector regression for different noise models and parameter settings,"A Chalimourda, B Schölkopf, AJ Smola","Neural Networks 17 (1), 127-141, 2004",215,2004
Bernhard Schölkopf,Modeling information propagation with survival theory,"M Gomez-Rodriguez, J Leskovec, B Schölkopf","International conference on machine learning, 666-674, 2013",214,2013
Bernhard Schölkopf,Letter to the editor: Experimentally optimal ν in support vector regression for different noise models and parameter settings,"A Chalimourda, B Schölkopf, AJ Smola","Neural Networks 18 (2), 205, 2005",214,2005
Bernhard Schölkopf,Randomized nonlinear component analysis,"D Lopez-Paz, S Sra, A Smola, Z Ghahramani, B Schölkopf","International conference on machine learning, 1359-1367, 2014",213,2014
