author_name,title,authors,publication,cited_by_value,year
Ulrike von Luxburg,A Bandit Model for Human-Machine Decision Making with Private Information and Opacity,U Luxburg,"arXiv, 2022",,2022
Ulrike von Luxburg,Spurious Behaviour in Networks from Spatio-temporal Data,"M Haas, B Goswami, U von Luxburg","EGU General Assembly Conference Abstracts, EGU22-11667, 2022",,2022
Ulrike von Luxburg,Estimating the perceived dimension of psychophysical stimuli,"DE Künstle, U von Luxburg, FA Wichmann",,,2022
Ulrike von Luxburg,Contextual Cueing May Not Be Unconscious,"S Meyen, U von Luxburg, VH Franz","PERCEPTION 50 (1_ SUPPL), 51-51, 2021",,2021
Ulrike von Luxburg,Insights into Ordinal Embedding Algorithms: A Systematic Evaluation,"U von Luxburg, FU Wahab, M Lohaus, S Haghiri, LC Vankadara","arXiv, 2021",,2021
Ulrike von Luxburg,Recovery Guarantees for Kernel-based Clustering under Non-parametric Mixture Models,"L Chennuru Vankadara, S Bordt, U von Luxburg, D Ghoshdastidar","arXiv e-prints, arXiv: 2110.09476, 2021",,2021
Ulrike von Luxburg,Is Contextual Cueing Unconscious? The Indirect Task Advantage in Implicit Learning,"S Meyen, U von Luxburg, VH Franz","Journal of Vision 21 (9), 1831-1831, 2021",,2021
Ulrike von Luxburg,Group decisions based on confidence weighted majority voting,"M Sascha, S Dorothee, U von Luxburg, VH Franz","Cognitive Research 6 (1), 2021",,2021
Ulrike von Luxburg,Insights into Ordinal Embedding Algorithms: A Systematic Evaluation,"L Chennuru Vankadara, S Haghiri, M Lohaus, FU Wahab, U von Luxburg","arXiv e-prints, arXiv: 1912.01666, 2019",,2019
Ulrike von Luxburg,Re-analyzing unconscious priming: Is there really an indirect task advantage?,"S Meyen, I Zerweck, C Amado, U von Luxburg, V Franz","Journal of Vision 19 (10), 275b-275b, 2019",,2019
Ulrike von Luxburg,Metric Embeddings for Machine Learning,"U Luxburg, V Uc-Cetina, LC Vankadara",,,2018
Ulrike von Luxburg,"Dagstuhl Reports, Vol. 6, Issue 9 ISSN 2192-5283","MC Dacier, S Dietrich, F Kargl, H König, M Fränzle, J Kapinski, ...",,,2017
Ulrike von Luxburg,Foundations of Unsupervised Learning (Dagstuhl Seminar 16382),"MF Balcan, S Ben-David, R Urner, U von Luxburg","Dagstuhl Reports 6 (9), 2017",,2017
Ulrike von Luxburg,Detecting unconscious processes: Demonstrating the flaws of a frequently used reasoning,"V Franz, U von Luxburg","Journal of Vision 15 (12), 618-618, 2015",,2015
Ulrike von Luxburg,Possibilities and limitations of machine learning on unweighted graphs--From the viewpoint of random geometric graph theory,"Y Terada, U Luxburg","IEICE Technical Report; IEICE Tech. Rep. 114 (306), 57-64, 2014",,2014
Ulrike von Luxburg,"24th Annual Conference on Learning Theory, 9-11 June 2011, Budapest, Hungary","SM Kakade, U von Luxburg","24th Annual Conference on Learning Theory (COLT 2011), 2011",,2011
Ulrike von Luxburg,"COLT 2011, 24th Annual Conference on Learning Theory","SM Kakade, U von Luxburg","COLT 2011. 24th Annual Conference on Learning Theory, 2011",,2011
